item,itemLabel,startDate,endDate,psid
Q12334009,Ruth Heilmann,2008,2009,Q12334009-CEFA6240-124B-4562-B15D-D3B8397DF52C
Q310653,Hans Enoksen,2021-04-16,,Q310653-08D92677-C00E-4CB5-8F07-5B411619527A
Q310653,Hans Enoksen,2018,2018-10-03,Q310653-63963D15-F9B2-4231-81FD-83D07418BECB
Q3740045,Lars Chemnitz,1989,1991,Q3740045-FA939B88-2F41-4941-9151-E69C73F30429
Q381139,Jonathan Motzfeldt,2002,2008,Q381139-025DB071-3EDE-4310-A3C4-75CD958D8940
Q381139,Jonathan Motzfeldt,1979,1988,Q381139-BB9DF10F-870A-4472-A9E1-EEB17054895A
Q381139,Jonathan Motzfeldt,1997,1997,Q381139-EF67191C-85BA-49FF-A4A7-16F1FD8C610F
Q44008954,Bendt Frederiksen,1991,1995,Q44008954-6F382246-23E5-4815-9D9B-969C69596C14
Q4559599,Josef Motzfeldt,2009,2013,Q4559599-5CA74D1A-535A-4CBB-9F11-C95B742FD6BB
Q45759985,Ole Lynge,1999,2000,Q45759985-BC106D47-A155-43CA-B0DF-09701F92BC33
Q46480023,Anders Andreassen,2001,2001,Q46480023-8CC8618E-D6F9-403F-A14D-D2250363AD8C
Q46480023,Anders Andreassen,1997,1999,Q46480023-90080D36-1BE8-46A2-AF1B-EBFA89AFCB26
Q46642660,Knud Sørensen,1995,1997,Q46642660-397AD821-1683-409A-98F4-E9E943C15BFD
Q468034,Lars-Emil Johansen,2013,2018,Q468034-78D873C3-4433-4618-A57C-866833839737
Q51077849,Daniel Skifte,2001,2002,Q51077849-D7A4E3DB-41E2-4D09-8898-95A9D492D745
Q55808436,Vivian Motzfeldt,2018-10-03,2021-04-16,Q55808436-B1ECFB56-E7E7-42D6-B503-5ADABAE9B3D9
Q5965473,Johan Lund Olsen,1999,1999,Q5965473-9A17FAB7-910D-4D88-BED9-5C058F0527F4
